Date,Open,High,Low,Close,Adj Close,Volume
11/12/2018,56.599998,57.189999,56.200001,56.700001,55.201241,4553900
11/13/2018,57.130001,57.919998,56.790001,56.82,55.318062,6004400
11/14/2018,56.93,57.560001,56.209999,56.43,54.938377,5543300
11/15/2018,56.16,56.259998,55,56.099998,54.617092,6969000
11/16/2018,55.810001,56.02,54.900002,55.900002,54.42239,6719500
11/19/2018,56,56.59,55.759998,56.189999,54.70472,5640400
11/20/2018,55.599998,56.470001,55.279999,55.41,53.945335,5623600
11/21/2018,55.810001,57.32,55.669998,55.970001,54.490536,6509100
11/23/2018,56.490002,57.689999,56.27,57.16,55.649078,3778200
11/26/2018,57.52,57.799999,56.560001,56.709999,55.210972,5927100
11/27/2018,57.310001,59,57.279999,58.310001,56.768684,8879800
11/28/2018,58.369999,58.93,57.709999,58.869999,57.313881,6204000
11/29/2018,58.5,59.43,58.349998,58.860001,57.304142,6793700
11/30/2018,59.259998,61.32,59.169998,60.709999,59.10524,10846900
12/3/2018,61,61.07,59.810001,60.119999,58.530834,6759400
12/4/2018,57.98,59.189999,56.330002,56.939999,55.434891,14429000
12/6/2018,56.630001,58.23,56.509998,58.080002,56.544762,9052500
12/7/2018,57.610001,58.080002,55.5,56.07,54.587891,8193600
12/10/2018,56.23,56.650002,55.310001,56.32,54.831284,5698400
12/11/2018,56.689999,56.959999,55.630001,55.889999,54.412647,7319200
12/12/2018,56.459999,56.970001,56,56.27,54.782604,6175700
12/13/2018,56.23,56.450001,53.349998,53.549999,52.134502,10174900
12/14/2018,52.900002,54.73,52.849998,53.509998,52.095558,5551600
12/17/2018,53.369999,53.369999,52.119999,52.389999,51.005169,5792700
12/18/2018,53.43,53.599998,52.66,52.950001,51.550362,6099500
12/19/2018,53.200001,53.34,51.41,51.93,50.557323,8003600
12/20/2018,51.529999,52.060001,50.02,50.91,49.564285,8428800
12/21/2018,50.509998,51.279999,49.290001,49.450001,48.142883,11680200
12/24/2018,49.25,49.450001,47.900002,47.959999,46.692265,5381300
12/26/2018,48.400002,50.459999,47.91,50.41,49.077503,7452700
12/27/2018,50.029999,50.5,48.32,50.5,49.165127,7136300
12/28/2018,50.529999,51.099998,49.709999,50.18,48.853584,5854800
12/31/2018,50.290001,50.66,49.560001,49.900002,48.580982,6231700
1/2/2019,49.25,50.16,48.880001,50.09,48.765957,5270700
1/3/2019,48.509998,48.939999,45.080002,45.610001,44.404381,18694100
1/4/2019,46.369999,48.830002,46.240002,47.790001,46.52676,11037000
1/7/2019,48,48.439999,47.130001,47.849998,46.585171,9375500
1/8/2019,48.48,48.669998,46.950001,47.470001,46.215218,8231400
1/9/2019,47.099998,48.720001,46.919998,48.470001,47.188786,8095300
1/10/2019,46.68,48.91,45.82,48.73,47.441914,11880200
1/11/2019,48.220001,48.669998,47.59,48.560001,47.276405,6577900
1/14/2019,47.57,47.900002,46.400002,47.75,46.487816,10095100
1/15/2019,47.970001,49.290001,46.849998,47.830002,46.565701,11569500
1/16/2019,48.889999,49.18,47.41,47.5,46.244423,9823000
1/17/2019,47.439999,48.57,47.32,48.220001,46.945396,7312700
1/18/2019,48.639999,48.700001,47.939999,48.110001,46.838299,7850200
1/22/2019,48.049999,48.049999,46.84,47.099998,45.854992,8144400
1/23/2019,47.290001,47.799999,46.939999,47.299999,46.049709,8099900
1/24/2019,48.259998,48.549999,47.169998,47.52,46.263897,9057200
1/25/2019,47.650002,48.150002,46.900002,47.689999,46.429398,11839200
1/28/2019,47.43,48.439999,47.330002,48.009998,46.740944,8212100
1/29/2019,48.41,48.490002,47.869999,48.220001,46.945396,7476500
1/30/2019,48.380001,50.450001,48.360001,50.27,48.941204,13005200
1/31/2019,50.07,50.41,49.09,49.43,48.123405,8287100
2/1/2019,49.630001,50.490002,49.57,49.919998,48.600452,6172900
2/4/2019,49.990002,50.400002,49.560001,50.34,49.00935,5356200
2/5/2019,50.369999,51.060001,50.02,50.540001,49.204067,8727600
2/6/2019,50.169998,50.779999,49.860001,50.52,49.184593,6228100
2/7/2019,50.34,50.669998,49.970001,50.41,49.077503,5673900
2/8/2019,50.07,50.529999,49.919998,50.470001,49.135918,4456600
2/11/2019,50.610001,51.029999,50.599998,50.610001,49.272217,6963900
2/12/2019,50.860001,51.07,49.880001,49.889999,48.571247,8301700
2/13/2019,50.049999,50.73,49.889999,50.41,49.077503,5754900
2/14/2019,50.07,50.73,49.959999,50.48,49.145653,5780000
2/15/2019,50.889999,51.470001,50.57,51.080002,49.729797,6492000
2/19/2019,51,52.220001,51,51.82,50.45023,7904800
2/20/2019,51.18,51.639999,50.57,51.240002,49.885563,7497300
2/21/2019,51.200001,51.860001,51.099998,51.48,50.119221,6615000
2/22/2019,51.599998,51.959999,51.240002,51.52,50.158165,5413200
