Date,Open,High,Low,Close,Adj Close,Volume
11/12/2018,39.669998,39.740002,39.139999,39.240002,38.36673,68569700
11/13/2018,39.619999,40.080002,39.439999,39.689999,38.806709,106305600
11/14/2018,40.060001,40.189999,39.57,39.93,39.04137,96621100
11/15/2018,40.139999,41.049999,40.060001,40.82,39.911564,146475800
11/16/2018,40.490002,41.110001,40.369999,40.900002,39.98978,135075800
11/19/2018,40.619999,40.68,40.240002,40.349998,39.452019,77777300
11/20/2018,39.720001,39.91,39.34,39.48,38.601387,98272800
11/21/2018,40.209999,40.48,40.130001,40.209999,39.315136,68104600
11/23/2018,39.740002,39.950001,39.709999,39.740002,38.855598,32048200
11/26/2018,40.299999,40.419998,40.080002,40.23,39.334694,76320100
11/27/2018,40.09,40.509998,40.029999,40.509998,39.608459,81069100
11/28/2018,40.790001,41.509998,40.470001,41.48,40.556873,121010900
11/29/2018,41.189999,41.400002,40.919998,41.119999,40.204887,104239600
11/30/2018,40.959999,41.169998,40.799999,41.080002,40.165779,92961200
12/3/2018,42.130001,42.150002,41.700001,41.91,40.977306,125024100
12/4/2018,41.950001,42.02,40.919998,41.02,40.107113,134758200
12/6/2018,39.93,40.68,39.68,40.639999,39.735569,165155100
12/7/2018,40.580002,40.849998,39.779999,39.880001,38.992485,134304600
12/10/2018,39.610001,39.68,38.970001,39.459999,38.581829,104465300
12/11/2018,40.02,40.029999,39.48,39.759998,38.875149,104014700
12/12/2018,40.5,40.779999,40.380001,40.41,39.510685,89712200
12/13/2018,40.560001,40.68,40.349998,40.400002,39.500912,72445400
12/14/2018,39.889999,40.18,39.799999,39.830002,38.9436,94915600
12/17/2018,39.889999,40.040001,39.330002,39.459999,38.581829,109276200
12/18/2018,39.169998,39.380001,39.029999,39.139999,38.84383,102509800
12/19/2018,39.330002,39.73,38.169998,38.490002,38.19875,204046200
12/20/2018,38.880001,39.130001,38.459999,38.790001,38.496479,183908800
12/21/2018,38.900002,39.110001,38.32,38.52,38.228523,143673400
12/24/2018,38.439999,38.720001,38.16,38.16,37.871246,50709500
12/26/2018,38.41,38.959999,38.040001,38.919998,38.625492,96347200
12/27/2018,38.400002,38.91,38.240002,38.869999,38.575871,81792700
12/28/2018,39.189999,39.459999,39,39.240002,38.943077,72869100
12/31/2018,39.5,39.540001,38.93,39.060001,38.764439,72972200
1/2/2019,38.59,39.189999,38.580002,39.16,38.863678,57198800
1/3/2019,38.73,38.759998,38.299999,38.450001,38.159054,62767600
1/4/2019,39.009998,39.860001,38.919998,39.689999,39.389668,103055100
1/7/2019,39.720001,39.950001,39.490002,39.779999,39.478985,76597000
1/8/2019,39.799999,40,39.57,39.93,39.627853,70518200
1/9/2019,40.34,40.860001,40.330002,40.639999,40.332478,125118800
1/10/2019,40.419998,40.959999,40.419998,40.93,40.620285,85207600
1/11/2019,40.599998,40.799999,40.5,40.73,40.421799,63136200
1/14/2019,40.209999,40.580002,40.139999,40.389999,40.08437,76217000
1/15/2019,40.619999,40.889999,40.549999,40.669998,40.362251,78913000
1/16/2019,40.959999,41.310001,40.950001,41.169998,40.858467,82543600
1/17/2019,40.84,41.549999,40.799999,41.349998,41.037106,85522800
1/18/2019,41.52,41.720001,41.419998,41.549999,41.235592,98168900
1/22/2019,41.060001,41.150002,40.650002,40.830002,40.521046,101294900
1/23/2019,41.209999,41.279999,40.900002,41.25,40.937862,66625200
1/24/2019,41.279999,41.68,41.279999,41.650002,41.334839,76076900
1/25/2019,42.099998,42.310001,42.040001,42.200001,41.880676,105779500
1/28/2019,41.57,41.790001,41.439999,41.759998,41.444004,85543100
1/29/2019,41.970001,41.990002,41.73,41.830002,41.513477,56518900
1/30/2019,42.080002,42.830002,41.880001,42.740002,42.416592,127796800
1/31/2019,42.790001,43.139999,42.779999,43.099998,42.773865,119929200
2/1/2019,42.779999,42.84,42.630001,42.759998,42.436436,65766100
2/4/2019,42.630001,42.950001,42.540001,42.830002,42.505909,45770200
2/5/2019,43.029999,43.459999,42.959999,43.419998,43.091442,81720100
2/6/2019,43.220001,43.25,42.740002,42.830002,42.505909,58194900
2/7/2019,42.490002,42.709999,42.029999,42.400002,42.079163,101061400
2/8/2019,42.09,42.23,41.849998,42.16,41.840977,64212200
2/11/2019,42.240002,42.259998,42,42.02,41.702038,42213400
2/12/2019,42.369999,42.549999,42.310001,42.369999,42.049389,66073100
2/13/2019,42.389999,42.470001,41.970001,42.07,41.751659,82318100
2/14/2019,41.82,42.299999,41.740002,42.150002,41.831055,91302500
2/15/2019,42.130001,42.130001,41.950001,42.09,41.771507,72362200
2/19/2019,41.93,42.509998,41.93,42.419998,42.09901,64391100
2/20/2019,42.650002,42.93,42.540001,42.66,42.337196,73694800
2/21/2019,42.630001,42.669998,42.369999,42.57,42.247875,48092400
2/22/2019,42.93,43.16,42.84,43.040001,42.714321,58022200
2/25/2019,43.52,43.73,43.419998,43.52,43.190689,66533800
2/26/2019,43.220001,43.52,43.189999,43.369999,43.041821,58330600
2/27/2019,43.09,43.16,42.849998,43,42.674622,69471200
2/28/2019,42.720001,42.740002,42.439999,42.439999,42.118858,87434700
3/1/2019,42.779999,42.810001,42.41,42.490002,42.168484,94263900
3/4/2019,42.720001,42.779999,42.18,42.549999,42.228027,94168300
3/5/2019,42.75,43.040001,42.66,42.970001,42.644852,54576700
3/6/2019,42.990002,43.049999,42.66,42.73,42.406666,61237800
3/7/2019,42.48,42.490002,41.869999,41.939999,41.622643,83415300
3/8/2019,41.439999,41.68,41.389999,41.639999,41.324913,97742100
3/11/2019,42.009998,42.470001,42.009998,42.419998,42.09901,63002300
3/12/2019,42.639999,42.75,42.560001,42.639999,42.317345,42726900
3/13/2019,42.66,42.75,42.549999,42.689999,42.366966,61450000
3/14/2019,42.52,42.540001,42.290001,42.459999,42.138706,58460400
3/15/2019,42.849998,43.139999,42.82,43.080002,42.754017,139870800
3/18/2019,43.389999,43.580002,43.330002,43.560001,43.230385,42149100
3/19/2019,43.610001,43.740002,43.48,43.580002,43.250237,53192700
3/20/2019,43.439999,44.009998,43.139999,43.650002,43.319706,90678800
3/21/2019,43.419998,43.720001,43.32,43.709999,43.37925,71400600
3/22/2019,43.049999,43.150002,42.389999,42.43,42.108936,118616600
3/25/2019,42.34,42.66,42.299999,42.529999,42.208176,53285300
3/26/2019,42.669998,42.779999,42.43,42.66,42.337196,57145800
3/27/2019,42.439999,42.529999,42.060001,42.200001,41.880676,72804300
3/28/2019,42.34,42.529999,42.189999,42.48,42.158558,41052500
3/29/2019,42.950001,43,42.720001,42.919998,42.595226,70439100
4/1/2019,43.5,43.669998,43.400002,43.630001,43.299854,70455500
4/2/2019,43.669998,43.689999,43.349998,43.490002,43.160915,48692200
4/3/2019,43.91,44.139999,43.73,43.790001,43.458645,73639400
4/4/2019,43.779999,44.139999,43.759998,44.060001,43.726601,47028400
4/5/2019,44.18,44.419998,44.139999,44.400002,44.06403,50360800
4/8/2019,44.18,44.439999,44.110001,44.400002,44.06403,30209000
4/9/2019,44.43,44.459999,44.27,44.310001,43.974712,49530300
4/10/2019,44.5,44.639999,44.41,44.52,44.183121,51143400
4/11/2019,44.200001,44.23,43.919998,44.040001,43.706753,55153600
4/12/2019,44.48,44.52,44.259998,44.360001,44.02433,54695700
4/15/2019,44.32,44.34,43.959999,44.130001,43.796074,37957800
4/16/2019,44.32,44.52,44.32,44.459999,44.123573,43860100
4/17/2019,44.77,44.84,44.48,44.59,44.25259,56935400
4/18/2019,44.43,44.650002,44.299999,44.560001,44.22282,56639800
4/22/2019,44.139999,44.32,44.060001,44.27,43.935013,35929100
4/23/2019,44.200001,44.450001,44.150002,44.369999,44.034256,32829900
4/24/2019,44.07,44.080002,43.630001,43.77,43.438797,68961600
4/25/2019,43.5,43.720001,43.369999,43.709999,43.37925,61168500
4/26/2019,43.779999,43.959999,43.639999,43.880001,43.547966,55441700
4/29/2019,44,44.049999,43.880001,43.970001,43.637283,34398300
4/30/2019,43.849998,44.029999,43.630001,43.93,43.597584,69577000
5/1/2019,44.009998,44.349998,43.540001,43.599998,43.270081,98629100
5/2/2019,43.700001,43.849998,43.450001,43.700001,43.369328,53101500
5/3/2019,44.02,44.279999,43.959999,44.220001,43.885391,56642000
5/6/2019,42.84,43.389999,42.790001,43.310001,42.982277,80977000
5/7/2019,42.860001,42.860001,42.209999,42.459999,42.138706,94189000
5/8/2019,42.580002,42.759998,42.380001,42.400002,42.079163,73548600
5/9/2019,41.450001,41.93,41.150002,41.73,41.41423,130849000
5/10/2019,41.849998,42.110001,41.34,41.98,41.662338,90343300
5/13/2019,40.68,40.869999,40.380001,40.580002,40.272934,154670900
5/14/2019,41.130001,41.299999,40.98,41.150002,40.838623,89406800
5/15/2019,40.900002,41.310001,40.84,41.23,40.918015,79039500
5/16/2019,41.169998,41.419998,41.009998,41.029999,40.719528,60101000
5/17/2019,40.349998,40.630001,40.25,40.290001,39.98513,83972200
5/20/2019,40.169998,40.299999,39.970001,40.119999,39.816414,53810000
5/21/2019,40.389999,40.639999,40.290001,40.630001,40.322556,59832600
5/22/2019,40.580002,40.619999,40.389999,40.43,40.124069,44117200
5/23/2019,39.880001,40.080002,39.75,39.91,39.608006,86731100
5/24/2019,40.220001,40.27,39.91,39.950001,39.647701,66379700
5/28/2019,40.369999,40.419998,40.009998,40.09,39.78664,98395200
5/29/2019,39.93,40.369999,39.880001,40.349998,40.044674,82060400
5/30/2019,40.48,40.73,40.450001,40.57,40.263008,69626300
5/31/2019,40.380001,40.810001,40.349998,40.709999,40.401951,85220400
6/3/2019,41.049999,41.299999,40.970001,41.080002,40.769154,75619900
6/4/2019,40.91,41.200001,40.82,41.169998,40.858467,64141900
6/5/2019,41.220001,41.240002,40.73,40.84,40.530968,64072200
6/6/2019,40.84,40.950001,40.689999,40.860001,40.550816,47722500
6/7/2019,41.080002,41.52,41.060001,41.18,40.868393,63584200
6/10/2019,41.560001,41.810001,41.470001,41.610001,41.295139,57245800
6/11/2019,42.150002,42.220001,41.959999,42.080002,41.761585,69040600
6/12/2019,41.779999,41.810001,41.549999,41.630001,41.314991,55120600
6/13/2019,41.689999,41.759998,41.43,41.560001,41.245522,59717500
