Date,Open,High,Low,Close,Adj Close,Volume
11/12/2018,224.589996,225.190002,218.770004,219.630005,216.442078,1577800
11/13/2018,220.789993,225.25,220.039993,222.509995,219.280258,1086500
11/14/2018,224.539993,227.300003,222.990005,225.160004,221.8918,1380300
11/15/2018,223.229996,229.460007,221.979996,227.809998,224.503326,1285900
11/16/2018,226.880005,228.169998,224.589996,226.690002,223.399582,1240900
11/19/2018,226.460007,228.990005,224.690002,226.300003,223.015244,1106200
11/20/2018,222.720001,224.169998,220.020004,221.339996,218.127228,1620300
11/21/2018,222.350006,226.300003,222.350006,222.550003,219.319672,1019900
11/23/2018,221.419998,226,220.559998,223.399994,220.157318,498200
11/26/2018,225.880005,226.119995,223.100006,225.039993,221.773514,1165700
11/27/2018,223.779999,225.850006,222.419998,225.229996,221.96077,1122000
11/28/2018,226.559998,231.850006,225.130005,231.850006,228.48468,1311500
11/29/2018,230.919998,231.5,227.330002,227.5,224.197815,1162900
11/30/2018,227.199997,229.570007,226.25,229,225.676056,1588900
12/3/2018,232.660004,234.490005,228.270004,230.039993,226.700928,1465900
12/4/2018,227,227.550003,212.800003,215.520004,212.391724,3819600
12/6/2018,212,215.309998,209.5,215.059998,211.93837,2248100
12/7/2018,214.699997,217.449997,200.119995,201.389999,199.068481,3101100
12/10/2018,198.710007,198.729996,188.509995,192.929993,190.705994,5887300
12/11/2018,195.369995,196.5,187.029999,189.649994,187.463806,4584600
12/12/2018,192.389999,193.119995,187.580002,188.270004,186.099731,3684700
12/13/2018,189.029999,189.449997,183.550003,187.179993,185.022263,4194800
12/14/2018,185.149994,188.75,183.100006,184.110001,181.987671,2558200
12/17/2018,183.110001,186.169998,181.279999,182.190002,180.089813,3402000
12/18/2018,183.529999,186.139999,182.949997,185.009995,182.877304,4300800
12/19/2018,169.220001,171.630005,162.5,162.509995,160.636658,15288500
12/20/2018,161.990005,164.990005,158.339996,159.720001,157.87883,6552700
12/21/2018,158.009995,159.789993,154.660004,158,156.17865,6969400
12/24/2018,156.949997,157.729996,152.610001,152.699997,150.939743,2935200
12/26/2018,154,160.149994,150.940002,160.149994,158.303864,3503100
12/27/2018,158.5,161.020004,155.279999,161.020004,159.163864,2880200
12/28/2018,162.259995,163.789993,158.309998,158.979996,157.147339,2876700
12/31/2018,159.559998,161.649994,158.899994,161.330002,159.470261,2175300
1/2/2019,158.520004,163.380005,157.570007,163.190002,161.308823,2125700
1/3/2019,161.789993,163.070007,156.960007,157.190002,155.377991,3033300
1/4/2019,160.199997,164.979996,159.5,164.429993,162.534531,2938600
1/7/2019,164.889999,166.850006,162.149994,166.729996,164.808014,2989400
1/8/2019,168.699997,169.419998,165.309998,167.020004,165.094696,2610700
1/9/2019,167.649994,171.220001,167.100006,170.589996,168.62352,2750900
1/10/2019,169.070007,170.619995,167.929993,170.119995,168.158936,1958500
1/11/2019,169.490005,171.139999,167.199997,170.990005,169.018921,2836400
1/14/2019,169.869995,173.100006,169.119995,171.550003,169.572464,2225000
1/15/2019,171.470001,172.649994,169.020004,170.630005,168.663071,2165400
1/16/2019,171.190002,174.229996,170.940002,171.360001,169.384644,2342800
1/17/2019,170.960007,175,170.729996,173.270004,171.272629,1789700
1/18/2019,175.179993,179.190002,174.550003,176.910004,174.870682,3072100
1/22/2019,176.309998,176.720001,174.020004,175.899994,173.872299,2105900
1/23/2019,176.839996,177.080002,171.279999,173.679993,171.677887,1853100
1/24/2019,173.369995,174.279999,171.789993,174.100006,172.093063,1630100
1/25/2019,175.889999,177.559998,174.100006,175.360001,173.338531,1968600
1/28/2019,173.5,174.330002,171.710007,173.960007,171.954681,1355500
1/29/2019,174,174.300003,172.520004,173.580002,171.579056,1090200
1/30/2019,175.119995,178.229996,173.160004,177.470001,175.42421,1562700
1/31/2019,178.710007,178.710007,176.580002,177.570007,175.523071,1865100
2/1/2019,178.300003,180.119995,178.059998,179.309998,177.243011,1812500
2/4/2019,179.190002,182.740005,178.300003,182.729996,180.623566,1694700
2/5/2019,183,184.320007,182.080002,183.729996,181.612045,1670800
2/6/2019,183.389999,185.029999,182.860001,183.809998,181.691116,1485300
2/7/2019,182.770004,183.440002,179.949997,181.369995,179.279251,1853700
2/8/2019,180.039993,180.179993,173.770004,177.240005,175.196869,2461400
2/11/2019,177.800003,181.240005,177.649994,181.089996,179.002487,1644700
2/12/2019,182.630005,186.229996,181.949997,185.449997,183.312225,1819500
2/13/2019,186.100006,187.039993,185.119995,185.619995,183.48027,1364400
2/14/2019,184.539993,185.220001,182.970001,183.919998,181.79985,1556900
2/15/2019,179,179.5,176.960007,179.300003,177.233124,4730700
2/19/2019,179.160004,181.800003,178.929993,180.25,178.172165,1836400
2/20/2019,180.979996,183.020004,180.259995,181.910004,179.813049,1414700
2/21/2019,181.779999,183.460007,181.419998,182.279999,180.178757,1033800
2/22/2019,182.070007,182.279999,176.100006,180.490005,178.409409,2023300
2/25/2019,181.940002,183.649994,180.679993,181.070007,178.982727,1652900
2/26/2019,180.830002,183.960007,180.509995,181.710007,179.615341,1612600
2/27/2019,181.070007,182.240005,179.899994,181.809998,179.714188,966200
2/28/2019,181.460007,181.639999,180.210007,181,178.913528,1260600
3/1/2019,182.020004,184.440002,182,182.800003,180.69278,1473300
3/4/2019,184.070007,185.309998,179.899994,181.139999,179.05191,1694800
3/5/2019,180.440002,181.149994,178.550003,180.009995,177.934921,1474500
3/6/2019,180.589996,180.759995,177.350006,178.179993,176.126038,1441900
3/7/2019,176.199997,176.619995,172.080002,172.860001,170.867371,3743900
3/8/2019,169.850006,172.619995,167.610001,171.779999,170.44072,2059100
3/11/2019,172.089996,176.619995,171.860001,176.449997,175.074295,1683200
3/12/2019,177,178.199997,175.570007,177.169998,175.788681,1506100
3/13/2019,178.279999,180.100006,177.449997,179.529999,178.13028,1222900
3/14/2019,179.240005,179.529999,177.5,179.080002,177.683792,1217000
3/15/2019,179.479996,181.839996,177.589996,177.979996,176.592361,2481500
3/18/2019,178.130005,182.419998,178.130005,182.399994,180.977905,2230300
3/19/2019,183.820007,185,180.679993,181.410004,179.995636,4277000
3/20/2019,172.75,175.770004,169.660004,175.070007,173.705078,9287800
3/21/2019,174.449997,179.339996,172.490005,178.990005,177.594513,3156100
3/22/2019,177.550003,178.130005,173.839996,173.990005,172.633484,2439500
3/25/2019,173.919998,174.869995,171.369995,172.070007,170.728455,1851000
3/26/2019,173.25,175.240005,172.470001,175.149994,173.784439,1430500
3/27/2019,175.119995,176.490005,174.589996,176.089996,174.717102,1571900
3/28/2019,174.850006,178.259995,174.850006,177.899994,176.512985,2031500
3/29/2019,179.020004,182.089996,178.910004,181.410004,179.995636,2171500
4/1/2019,182.270004,187,182.220001,186.449997,184.996338,2340900
4/2/2019,186.509995,186.660004,183.679993,184.029999,182.595215,1553000
4/3/2019,185.589996,188,184.279999,185.190002,183.746155,1263900
4/4/2019,184.800003,187.75,184.800003,187.669998,186.206818,1303100
4/5/2019,187.929993,190.369995,187.259995,189.899994,188.419434,2301400
4/8/2019,189.139999,191.559998,188.399994,191.380005,189.887894,1595000
4/9/2019,189.899994,190.429993,188.850006,189.949997,188.46904,1435500
4/10/2019,190,191.75,189.5,191,189.510864,1069400
4/11/2019,191.350006,193,190.960007,191.869995,190.374084,1541100
4/12/2019,194,196.979996,193.179993,196.949997,195.414459,1651200
4/15/2019,197,197.960007,195.550003,196.179993,194.650467,1829500
4/16/2019,196.25,198.570007,195.869995,197.229996,195.692291,1457900
4/17/2019,198.479996,199.320007,196.919998,198.059998,196.515823,1116700
4/18/2019,198.470001,199.320007,197.820007,198.149994,196.605118,1391700
4/22/2019,197.080002,197.509995,195.199997,195.979996,194.452042,1529600
4/23/2019,195.520004,196.080002,194.639999,195.130005,193.608658,1727400
4/24/2019,195.100006,198.309998,194.550003,197.860001,196.317368,1511700
4/25/2019,195.759995,195.910004,188.630005,188.869995,187.397461,3086600
4/26/2019,185.240005,186.539993,182.889999,184.039993,182.605118,3638100
4/29/2019,184.509995,187.320007,183.160004,186.630005,185.174927,1471400
4/30/2019,186.940002,190.649994,185.559998,189.460007,187.98288,1562800
5/1/2019,189.729996,189.839996,185.619995,185.619995,184.172806,1432900
5/2/2019,185.360001,188.080002,182.809998,187.039993,185.581741,1477300
5/3/2019,188.720001,190.580002,187.75,188.059998,186.593781,1229200
5/6/2019,183.210007,186.229996,181.610001,185.600006,184.152969,1290300
5/7/2019,183.259995,183.470001,178.110001,180.660004,179.251495,2152300
5/8/2019,180.059998,181.089996,178.300003,179.429993,178.031067,2029000
5/9/2019,177.380005,179.669998,175.940002,179.559998,178.160065,1601400
5/10/2019,178.759995,179.539993,174.809998,178,176.612213,1475700
5/13/2019,172.809998,173.759995,170.789993,172.300003,170.956665,1781400
5/14/2019,172.600006,174.350006,170.740005,171.860001,170.520081,2248700
5/15/2019,170.130005,173.279999,167.460007,172.539993,171.194778,2314900
5/16/2019,173.039993,179.429993,172.869995,175.770004,174.399612,2676900
5/17/2019,171.960007,174.220001,169.649994,169.919998,168.595215,2235100
5/20/2019,168.229996,169.850006,167.320007,168.210007,166.898544,1672800
5/21/2019,169.5,169.899994,167.460007,167.990005,166.680267,1889500
5/22/2019,166.759995,166.899994,161.929993,162,160.736969,3021800
5/23/2019,160.100006,161.050003,158.169998,160.589996,159.337952,2498200
5/24/2019,161.75,162.009995,158.679993,159.929993,158.68309,1348600
5/28/2019,158.979996,160.199997,156.809998,158.449997,157.21463,2528400
5/29/2019,157.690002,160.729996,156.220001,159.570007,158.325912,2045900
5/30/2019,159.779999,161.710007,157,158.009995,156.778076,1670400
5/31/2019,154.899994,156.75,153.789993,154.279999,153.077148,1912400
6/3/2019,151.160004,155.410004,150.679993,152.339996,151.152267,3918600
6/4/2019,154.020004,159.889999,153.710007,159.589996,158.345749,2854500
6/5/2019,161,161.5,157.770004,158.589996,157.353546,2241000
6/6/2019,158.300003,158.600006,155.600006,156.850006,155.627121,1585300
6/7/2019,157.229996,159.440002,156.25,158.020004,156.787994,2129500
6/10/2019,159.779999,164,159.699997,161.839996,160.578201,2054500
6/11/2019,163.460007,163.899994,158.850006,159.440002,158.196915,1857100
6/12/2019,158.729996,162.009995,158.080002,161.369995,160.111862,1412600
6/13/2019,163,165.880005,162.869995,165.669998,164.378342,2239600
6/14/2019,165.199997,165.479996,162.259995,164.550003,163.267075,1590200
6/17/2019,164.470001,165,163.059998,163.720001,162.443558,1313400
6/18/2019,165.009995,169.119995,164.710007,166.339996,165.043121,2184300
6/19/2019,166.679993,167.449997,165.669998,166.559998,165.261398,1608500
6/20/2019,168.389999,169.539993,166.789993,168.5,167.186295,2087400
6/21/2019,167.729996,168.059998,165.130005,165.350006,164.696167,2527500
6/24/2019,164,164.979996,160.580002,160.899994,160.263763,3563700
6/25/2019,159.970001,160,155.979996,155.979996,155.36322,4793100
6/26/2019,156.449997,161.259995,153.509995,159.919998,159.287643,6247600
6/27/2019,160.399994,164.350006,160.039993,163.309998,162.66423,3460900
6/28/2019,164.229996,166.389999,164,164.190002,163.540756,5311700
7/1/2019,168.020004,168.020004,161.559998,162.970001,162.325577,2346800
7/2/2019,163.070007,163.229996,159.509995,159.789993,159.158142,1860200
7/3/2019,160.389999,161.529999,159.339996,161.419998,160.781708,1180600
7/5/2019,161.080002,162.419998,159.520004,161.970001,161.329529,1125300
7/8/2019,160.259995,161.720001,159.039993,160.820007,160.184082,1586300
7/9/2019,159.410004,159.940002,158.690002,159.190002,158.560532,1218000
7/10/2019,162.169998,162.820007,159.759995,159.990005,159.357361,2077600
7/11/2019,160.110001,163.360001,159.759995,162.600006,161.957047,2499000
7/12/2019,164.630005,168.440002,164.309998,167.470001,166.807785,3310800
7/15/2019,167.509995,168.850006,166.270004,167.899994,167.236084,2021800
7/16/2019,168.820007,172.960007,168.820007,169.789993,169.118607,2744100
7/17/2019,169.570007,169.779999,164.740005,165.050003,164.397354,3074900
7/18/2019,164.639999,166.5,163.759995,165.380005,164.726059,1681600
7/19/2019,166.169998,168.869995,166.149994,167.130005,166.469131,2067200
7/22/2019,168.539993,171.130005,168.240005,169.550003,168.879562,2130700
7/23/2019,171,173.949997,171,173.770004,173.08287,2866400
7/24/2019,174.789993,178.5,174.419998,176.009995,175.314011,2679100
7/25/2019,175.600006,176.759995,174.630005,175.869995,175.174561,1985700
7/26/2019,175.800003,175.919998,173.800003,174.940002,174.248245,2003200
7/29/2019,174.529999,175.039993,171.699997,172.600006,171.917511,1389100
7/30/2019,171.539993,172.940002,169.589996,172.389999,171.708328,1226300
7/31/2019,172.440002,173.990005,168.580002,170.529999,169.855682,1485400
8/1/2019,170.160004,171.470001,162.690002,163.309998,162.66423,3039200
8/2/2019,162.779999,164.800003,161.330002,163.729996,163.082565,1959100
8/5/2019,160.089996,160.160004,155.020004,157.259995,156.638153,3200700
8/6/2019,159.160004,162.990005,158.559998,161.190002,160.552612,2802100
8/7/2019,157.820007,160.869995,155.229996,160.660004,160.024719,2398700
8/8/2019,162.089996,165.199997,161.509995,164.229996,163.580597,1793300
8/9/2019,163.720001,163.940002,160.419998,162.130005,161.488907,1270200
8/12/2019,161.029999,161.229996,158.410004,158.809998,158.182022,912200
8/13/2019,159.639999,163.600006,157.320007,160.520004,159.885269,1835000
8/14/2019,157.779999,158.039993,154.320007,155.059998,154.446854,1688400
8/15/2019,155.410004,155.490005,151.470001,152.820007,152.215729,1874000
8/16/2019,154.179993,156.910004,153.990005,156,155.383133,1560400
8/19/2019,158.470001,159.240005,157.5,158.309998,157.684006,1458300
8/20/2019,157.559998,157.970001,155.309998,155.839996,155.22377,1089100
8/21/2019,157.770004,158.800003,157.020004,158.179993,157.55452,1044400
8/22/2019,158.259995,158.990005,155.759995,158.100006,157.474838,1156300
8/23/2019,156.509995,157.190002,151.119995,151.970001,151.36908,2806500
8/26/2019,153.220001,154.729996,151.660004,152.490005,151.887024,1270800
8/27/2019,153.029999,154.110001,148.800003,149.529999,148.938721,1809600
8/28/2019,149.139999,154.449997,147.820007,153.179993,152.57428,2064900
8/29/2019,155,158.490005,154.880005,157.449997,156.827408,1684600
8/30/2019,158.490005,160.309998,158.160004,158.610001,157.982819,1151500
9/3/2019,155.789993,157.25,153.910004,155.369995,154.75563,1270600
9/4/2019,157.539993,159.580002,157.220001,159.059998,158.43103,1260400
9/5/2019,161.059998,165.360001,160.710007,164.380005,163.730011,2119200
9/6/2019,164,164.820007,161.619995,161.869995,161.869995,1413400
9/9/2019,163.100006,167.630005,162.949997,167.419998,167.419998,2271600
9/10/2019,167.330002,172.5,166.889999,172.259995,172.259995,2407300
9/11/2019,172.800003,173.960007,169.690002,173.960007,173.960007,1642700
9/12/2019,174.089996,174.679993,171.410004,173.509995,173.509995,1520500
9/13/2019,174.899994,176.25,173.009995,174.100006,174.100006,1456400
9/16/2019,172.380005,174.949997,171.009995,173.570007,173.570007,1546400
9/17/2019,172.369995,174.440002,171.139999,173.300003,173.300003,4053400
9/18/2019,153.300003,154.570007,148.5,150.910004,150.910004,22812400
9/19/2019,150.220001,152.600006,149.5,152.449997,152.449997,5557800
9/20/2019,153.360001,153.360001,148.449997,148.779999,148.779999,5606500
9/23/2019,147.539993,149.100006,145.460007,145.669998,145.669998,4084500
9/24/2019,145.929993,147.619995,142.490005,143.25,143.25,5502600
9/25/2019,143.149994,147.820007,143.149994,147.039993,147.039993,3551200
9/26/2019,147.270004,147.479996,144.470001,145.160004,145.160004,2033200
9/27/2019,145.669998,146.820007,143.910004,144.960007,144.960007,1967700
9/30/2019,145.309998,146.5,144.960007,145.570007,145.570007,1693400
10/1/2019,145.589996,146.839996,140.619995,141.639999,141.639999,3434800
10/2/2019,140.160004,141.899994,139.100006,140.779999,140.779999,2740800
10/3/2019,140.5,141.899994,138.589996,141.710007,141.710007,2300900
10/4/2019,141.789993,143.059998,140.690002,143,143,2166100
10/7/2019,141.839996,144.229996,141.130005,142.089996,142.089996,1778800
10/8/2019,140.800003,140.940002,138.380005,138.389999,138.389999,2382600
10/9/2019,138.830002,139.770004,137.779999,139.25,139.25,2212800
10/10/2019,139.539993,141.619995,139.149994,141.360001,141.360001,1751500
10/11/2019,143.169998,147.050003,143.169998,145.539993,145.539993,3947900
10/14/2019,145.110001,147.699997,144.389999,146.779999,146.779999,2388200
10/15/2019,147.600006,150.130005,147.179993,149.960007,149.960007,3187300
10/16/2019,150.029999,152.360001,149.75,150.770004,150.770004,3425100
10/17/2019,151.380005,152.419998,150.479996,150.699997,150.699997,2585400
10/18/2019,150.479996,151.119995,149.190002,149.910004,149.910004,2789600
10/21/2019,150.679993,154.130005,150.089996,152.039993,152.039993,3459700
10/22/2019,151.320007,154.690002,149.850006,154.630005,154.630005,2975000
10/23/2019,154.389999,156.729996,153.690002,155.979996,155.979996,2174800
10/24/2019,156.300003,156.979996,153.039993,154.050003,154.050003,1712600
10/25/2019,153.800003,158.240005,153.509995,158.089996,158.089996,2080600
10/28/2019,158.899994,160.389999,157.169998,158.399994,158.399994,2597000
10/29/2019,158.929993,158.929993,156.800003,158.009995,158.009995,1464100
10/30/2019,157.75,157.759995,154.020004,155.839996,155.839996,1576200
10/31/2019,155,155.839996,151.619995,152.660004,152.660004,2110500
11/1/2019,154.160004,157.100006,153.960007,156.520004,156.520004,2129400
11/4/2019,159.850006,165.029999,159.5,164.839996,164.839996,4303600
11/5/2019,164.600006,167.589996,163.009995,164.850006,164.850006,2510000
11/6/2019,164.559998,164.619995,161.910004,163.169998,163.169998,1767300
11/7/2019,165.460007,166.830002,163.470001,163.919998,163.919998,1978200
11/8/2019,163.800003,164,161.600006,163.220001,163.220001,1152500
