Date,Open,High,Low,Close,Adj Close,Volume
11/12/2018,27.059999,27.18,26.530001,26.58,26.015276,47135500
11/13/2018,26.620001,26.99,26.6,26.73,26.162088,69820600
11/14/2018,26.940001,26.98,26.08,26.370001,25.809738,104274200
11/15/2018,26.190001,26.780001,26.030001,26.76,26.19145,93998000
11/16/2018,26.620001,26.91,26.469999,26.790001,26.220814,80518300
11/19/2018,26.77,26.9,26.540001,26.780001,26.211029,65491300
11/20/2018,26.469999,26.58,26.110001,26.190001,25.633564,103778300
11/21/2018,26.34,26.59,26.129999,26.209999,25.653135,48618000
11/23/2018,26.07,26.219999,25.93,26,25.447599,24252300
11/26/2018,26.27,26.629999,26.26,26.530001,25.966339,50168800
11/27/2018,26.48,26.629999,26.42,26.549999,25.985912,47174300
11/28/2018,26.629999,27.059999,26.4,27.059999,26.485077,61375300
11/29/2018,26.860001,27.01,26.719999,26.83,26.259964,43664100
11/30/2018,26.75,27.08,26.709999,26.969999,26.39699,45435200
12/3/2018,27.360001,27.469999,26.950001,27.139999,26.563377,65332700
12/4/2018,27,27.01,25.83,25.959999,25.408447,110918600
12/6/2018,25.379999,25.610001,24.93,25.6,25.056097,134687100
12/7/2018,25.540001,25.9,24.99,25.110001,24.576509,86740000
12/10/2018,25.01,25.08,24.299999,24.76,24.233944,101121800
12/11/2018,25.07,25.219999,24.43,24.52,23.999043,92308200
12/12/2018,24.860001,25.02,24.540001,24.66,24.136068,86748900
12/13/2018,24.65,24.780001,24.389999,24.48,23.959892,67232900
12/14/2018,24.24,24.58,24.190001,24.24,23.724991,66817000
12/17/2018,24.1,24.469999,23.889999,24,23.490091,101180400
12/18/2018,24.139999,24.4,23.76,23.91,23.402,90844000
12/19/2018,23.860001,24.389999,23.42,23.610001,23.108377,129331700
12/20/2018,23.379999,23.75,23.27,23.4,22.902838,107016900
12/21/2018,23.23,23.67,22.74,22.790001,22.44488,118502300
12/24/2018,22.49,22.75,22.280001,22.309999,21.972147,71752700
12/26/2018,22.370001,23.33,22.049999,23.32,22.966854,108133500
12/27/2018,22.93,23.6,22.709999,23.6,23.242613,98005000
12/28/2018,23.709999,23.9,23.49,23.59,23.232765,76348400
12/31/2018,23.719999,23.92,23.52,23.82,23.459282,56435400
1/2/2019,23.469999,24.07,23.4,24.02,23.656254,62945000
