,action,buySell,date,endValue,episode,price,qty,startValue
0,2,buy,10/2/2019,21687.0,918,1713.0,11,20000
1,3,sell,10/3/2019,21687.0,918,1724.0,11,20000
2,6,buy,10/8/2019,21687.0,918,1706.0,11,20000
3,12,sell,10/16/2019,21687.0,918,1777.0,11,20000
4,16,buy,10/22/2019,21687.0,918,1766.0,11,20000
5,18,sell,10/24/2019,21687.0,918,1781.0,11,20000
6,19,buy,10/25/2019,21687.0,918,1761.0,11,20000
7,20,sell,10/28/2019,21687.0,918,1777.0,11,20000
8,21,buy,10/29/2019,21687.0,918,1763.0,12,20000
9,26,sell,11/5/2019,21687.0,918,1802.0,12,20000
10,28,buy,11/7/2019,21687.0,918,1788.0,12,20000
11,29,sell,11/8/2019,21687.0,918,1786.0,12,20000
