,action,buySell,date,endValue,episode,price,qty,startValue
0,2,buy,10/2/2019,22567.0,721,129.0,155,20000
1,5,sell,10/7/2019,22567.0,721,131.0,155,20000
2,8,buy,10/10/2019,22567.0,721,129.0,157,20000
3,9,sell,10/11/2019,22567.0,721,130.0,157,20000
4,11,buy,10/15/2019,22567.0,721,130.0,157,20000
5,14,sell,10/18/2019,22567.0,721,131.0,157,20000
6,15,buy,10/21/2019,22567.0,721,130.0,158,20000
7,20,sell,10/28/2019,22567.0,721,131.0,158,20000
8,21,buy,10/29/2019,22567.0,721,129.0,161,20000
9,25,sell,11/4/2019,22567.0,721,133.0,161,20000
10,27,buy,11/6/2019,22567.0,721,131.0,163,20000
