,action,buySell,date,endValue,episode,price,qty,startValue
0,2,buy,10/2/2019,23645.0,199,175.0,114,20000
1,4,sell,10/4/2019,23645.0,199,180.0,114,20000
2,6,buy,10/8/2019,23645.0,199,178.0,115,20000
3,9,sell,10/11/2019,23645.0,199,184.0,115,20000
4,10,buy,10/14/2019,23645.0,199,183.0,116,20000
5,12,sell,10/16/2019,23645.0,199,190.0,116,20000
6,16,buy,10/22/2019,23645.0,199,182.0,121,20000
7,20,sell,10/28/2019,23645.0,199,189.0,121,20000
8,22,buy,10/30/2019,23645.0,199,188.0,121,20000
9,24,sell,11/1/2019,23645.0,199,194.0,121,20000
10,29,buy,11/8/2019,23645.0,199,191.0,123,20000
