,action,buySell,date,endValue,episode,price,qty,startValue
0,3,buy,10/3/2019,23161.0,759,27.0,740,20000
1,5,sell,10/7/2019,23161.0,759,28.0,740,20000
2,9,buy,10/11/2019,23161.0,759,27.0,768,20000
3,10,sell,10/14/2019,23161.0,759,27.0,768,20000
4,11,buy,10/15/2019,23161.0,759,26.0,797,20000
5,12,sell,10/16/2019,23161.0,759,27.0,797,20000
6,16,buy,10/22/2019,23161.0,759,27.0,797,20000
7,18,sell,10/24/2019,23161.0,759,28.0,797,20000
8,20,buy,10/28/2019,23161.0,759,27.0,827,20000
9,25,sell,11/4/2019,23161.0,759,28.0,827,20000
10,29,buy,11/8/2019,23161.0,759,26.0,890,20000
