,action,buySell,date,endValue,episode,price,qty,startValue
0,2,buy,10/2/2019,21798.0,535,142.0,140,20000
1,4,sell,10/4/2019,21798.0,535,143.0,140,20000
2,6,buy,10/8/2019,21798.0,535,138.0,145,20000
3,11,sell,10/15/2019,21798.0,535,143.0,145,20000
4,14,buy,10/18/2019,21798.0,535,134.0,155,20000
5,15,sell,10/21/2019,21798.0,535,133.0,155,20000
6,16,buy,10/22/2019,21798.0,535,134.0,154,20000
7,17,sell,10/23/2019,21798.0,535,134.0,154,20000
8,18,buy,10/24/2019,21798.0,535,134.0,154,20000
9,20,sell,10/28/2019,21798.0,535,136.0,154,20000
10,23,buy,10/31/2019,21798.0,535,134.0,156,20000
11,27,sell,11/6/2019,21798.0,535,139.0,156,20000
12,28,buy,11/7/2019,21798.0,535,138.0,157,20000
13,29,sell,11/8/2019,21798.0,535,138.0,157,20000
