,action,buySell,date,endValue,episode,price,qty,startValue
0,1,buy,10/1/2019,22714.0,410,137.0,145,20000
1,12,sell,10/16/2019,22714.0,410,140.0,145,20000
2,14,buy,10/18/2019,22714.0,410,137.0,149,20000
3,15,sell,10/21/2019,22714.0,410,138.0,149,20000
4,16,buy,10/22/2019,22714.0,410,136.0,151,20000
5,20,sell,10/28/2019,22714.0,410,144.0,151,20000
6,21,buy,10/29/2019,22714.0,410,143.0,152,20000
7,22,sell,10/30/2019,22714.0,410,145.0,152,20000
8,23,buy,10/31/2019,22714.0,410,143.0,154,20000
9,25,sell,11/4/2019,22714.0,410,145.0,154,20000
10,27,buy,11/6/2019,22714.0,410,144.0,155,20000
11,29,sell,11/8/2019,22714.0,410,146.0,155,20000
