,action,buySell,date,endValue,episode,price,qty,startValue
0,2,buy,10/2/2019,25131.0,102,173.0,115,20000
1,3,sell,10/3/2019,25131.0,102,181.0,115,20000
2,4,buy,10/4/2019,25131.0,102,182.0,114,20000
3,5,sell,10/7/2019,25131.0,102,184.0,114,20000
4,6,buy,10/8/2019,25131.0,102,177.0,119,20000
5,7,sell,10/9/2019,25131.0,102,181.0,119,20000
6,9,buy,10/11/2019,25131.0,102,186.0,116,20000
7,12,sell,10/16/2019,25131.0,102,194.0,116,20000
8,13,buy,10/17/2019,25131.0,102,194.0,116,20000
9,15,sell,10/21/2019,25131.0,102,196.0,116,20000
10,16,buy,10/22/2019,25131.0,102,196.0,116,20000
11,20,sell,10/28/2019,25131.0,102,207.0,116,20000
12,23,buy,10/31/2019,25131.0,102,201.0,119,20000
13,25,sell,11/4/2019,25131.0,102,210.0,119,20000
14,27,buy,11/6/2019,25131.0,102,208.0,120,20000
15,29,sell,11/8/2019,25131.0,102,208.0,120,20000
