,action,buySell,date,endValue,episode,price,qty,startValue
0,8,buy,10/10/2019,23014.0,110,27.0,740,20000
1,14,sell,10/18/2019,23014.0,110,28.0,740,20000
2,16,buy,10/22/2019,23014.0,110,28.0,740,20000
3,17,sell,10/23/2019,23014.0,110,29.0,740,20000
4,18,buy,10/24/2019,23014.0,110,28.0,767,20000
5,19,sell,10/25/2019,23014.0,110,29.0,767,20000
6,20,buy,10/28/2019,23014.0,110,29.0,767,20000
7,24,sell,11/1/2019,23014.0,110,29.0,767,20000
8,26,buy,11/5/2019,23014.0,110,29.0,767,20000
9,27,sell,11/6/2019,23014.0,110,30.0,767,20000
10,28,buy,11/7/2019,23014.0,110,30.0,767,20000
