,action,buySell,date,endValue,episode,price,qty,startValue
0,2,buy,10/2/2019,25187.0,103,21.0,952,20000
1,5,sell,10/7/2019,25187.0,103,21.0,952,20000
2,6,buy,10/8/2019,25187.0,103,20.0,999,20000
3,14,sell,10/18/2019,25187.0,103,21.0,999,20000
4,15,buy,10/21/2019,25187.0,103,21.0,999,20000
5,16,sell,10/22/2019,25187.0,103,21.0,999,20000
6,17,buy,10/23/2019,25187.0,103,21.0,999,20000
7,21,sell,10/29/2019,25187.0,103,22.0,999,20000
8,22,buy,10/30/2019,25187.0,103,21.0,1047,20000
9,26,sell,11/5/2019,25187.0,103,23.0,1047,20000
10,27,buy,11/6/2019,25187.0,103,22.0,1095,20000
11,29,sell,11/8/2019,25187.0,103,23.0,1095,20000
